Sample	Chromosome	Start	End	Copy_Nr_Raw	CopyNr	A	B	LOH	Theta	Theta_Exp	n_SNPs	Is_Subclonal_CN	Subclonal_P_value	Is_Inconsistent_State
4SubClones0.9_T-4SubClones0.9_N	chr8	139988704	145054178	2.13151	2	2	0	1	0.897436	0.93	115	0	0.0299357	0
4SubClones0.9_T-4SubClones0.9_N	chr9	214487	27158163	1.87186	2	1	1	0	0.0990909	0.0570065	82	0	0.0050219	0
4SubClones0.9_T-4SubClones0.9_N	chr9	27168473	38424445	1.30623	1	1	0	1	0.445255	0.869159	43	1	0	0
4SubClones0.9_T-4SubClones0.9_N	chr9	38595464	72918843	3.7238	4	3	1	0	0.437126	0.481865	21	0	0.00441705	0
4SubClones0.9_T-4SubClones0.9_N	chr9	72923997	138122020	2.04157	2	1	1	0	0.0595611	0.0570065	351	0	0.864766	0
4SubClones0.9_T-4SubClones0.9_N	chr10	179991	52316828	1.7366	1	1	0	1	0.165354	0.0570065	203	1	5.07816e-13	0
4SubClones0.9_T-4SubClones0.9_N	chr10	52768115	84372490	3.07823	3	2	1	0	0.295337	0.317406	137	0	0.14121	0
4SubClones0.9_T-4SubClones0.9_N	chr10	84373597	133560174	2.0266	2	1	1	0	0.0732124	0.0570065	308	0	0.279967	0
4SubClones0.9_T-4SubClones0.9_N	chr11	193078	43323657	1.83666	2	1	1	0	0.0892818	0.0570065	348	0	0.0314217	0
4SubClones0.9_T-4SubClones0.9_N	chr11	43327767	60739018	3.28971	3	2	1	0	0.491018	0.317406	97	1	0	1
4SubClones0.9_T-4SubClones0.9_N	chr11	60741008	134387680	1.86864	1	1	0	1	0.138151	0.0570065	470	1	6.31427e-08	0
4SubClones0.9_T-4SubClones0.9_N	chr12	99124	9926364	2.04718	2	1	1	0	0.0618655	0.0570065	116	0	0.745985	0
4SubClones0.9_T-4SubClones0.9_N	chr12	9971555	38829476	3.27677	4	3	1	0	0.388889	0.317406	103	1	1.88379e-06	0
4SubClones0.9_T-4SubClones0.9_N	chr12	38839894	133234377	2.01763	2	1	1	0	0.057377	0.0570065	511	0	0.98029	0
4SubClones0.9_T-4SubClones0.9_N	chr13	19173841	35352344	5.22202	5	4	1	0	0.610749	0.582463	78	0	0.202148	0
4SubClones0.9_T-4SubClones0.9_N	chr13	35452070	114326302	2.13729	2	1	1	0	0.10573	0.0570065	166	0	0.00116124	0
4SubClones0.9_T-4SubClones0.9_N	chr14	19747406	105529815	1.94194	2	1	1	0	0.0707071	0.0570065	403	0	0.361046	0
4SubClones0.9_T-4SubClones0.9_N	chr15	22080603	56707130	2.18009	2	1	1	0	0.368936	0.0570065	182	1	0	1
4SubClones0.9_T-4SubClones0.9_N	chr15	56919892	101819146	2.7513	2	2	0	1	0.428571	0.317406	257	1	1.25344e-13	0
4SubClones0.9_T-4SubClones0.9_N	chr16	47408	90075931	2.15991	2	1	1	0	0.0946657	0.0570065	726	0	0.012052	0
4SubClones0.9_T-4SubClones0.9_N	chr17	156198	83094596	2.04789	2	1	1	0	0.0611466	0.0570065	808	0	0.782539	0
4SubClones0.9_T-4SubClones0.9_N	chr18	163286	79467662	1.63348	1	1	0	1	0.24347	0.0570065	244	1	0	0
4SubClones0.9_T-4SubClones0.9_N	chr18	79486226	80202953	1.91139	2	1	1	0	0.0664652	0.0570065	20	0	0.65428	0
4SubClones0.9_T-4SubClones0.9_N	chr19	633403	58571410	1.91139	2	1	1	0	0.0995261	0.0570065	1193	0	0.00458773	0
4SubClones0.9_T-4SubClones0.9_N	chr20	87688	64273621	1.97716	2	1	1	0	0.0689655	0.0570065	407	0	0.425294	0
4SubClones0.9_T-4SubClones0.9_N	chr21	10590440	46664395	1.50624	1	1	0	1	0.349556	0.0570065	168	1	0	0
4SubClones0.9_T-4SubClones0.9_N	chr22	16590855	44285766	1.08296	1	1	0	1	0.811321	0.869159	293	1	0.000115316	0
4SubClones0.9_T-4SubClones0.9_N	chr22	44296650	50778002	2.06821	2	1	1	0	0.0570808	0.0570065	92	0	0.996044	0
